sku,brand,product_name,category,gender,season,region,date,competitor_price,our_cost,min_margin,our_current_price,size,color,material,store,store_id
CV-SND-U-147,Converse,Converse Arch Support Plus (Unisex),Sandals,Unisex,Spring,Southwest,5/6/2024,51.13,30.33,0.27,48.95,12,Tan,Synthetic,Amazon,Store_98
VN-SND-M-148,Vans,Vans Sun Slide (Men's),Sandals,Men's,Fall,Southwest,10/1/2024,19.33,17.6,0.24,21.65,12,Black,Synthetic,Amazon,Store_74
PU-LFS-M-149,Puma,Puma Modern Icon (Men's),Lifestyle,Men's,Fall,Southwest,10/15/2024,54.65,30.31,0.28,48.9,9,Black,Knit,Dick's Sporting Goods,Store_59
BR-HIK-M-150,Brooks,Brooks Ridge Runner (Men's),Hiking,Men's,Winter,South,2/2/2024,128.28,75.06,0.26,105.59,11,White,Leather,Academy Sports,Store_90
AS-RUN-Y-151,ASICS,ASICS Speed Boost Elite (Youth),Running,Youth,Summer,West Coast,8/17/2024,128.22,87.57,0.37,116.29,6.5Y,Gray,Synthetic,Academy Sports,Store_49
VN-CSL-Y-152,Vans,Vans Urban Walker (Youth),Casual,Youth,Winter,Northeast,1/22/2025,26.73,22.82,0.24,25.42,4.5Y,Tan,Synthetic,Amazon,Store_01
VN-BOT-W-153,Vans,Vans Tough Terrain (Women's),Boots,Women's,Winter,South,1/26/2025,112.06,55.56,0.31,98.87,8,Blue,Leather,Amazon,Store_93
NK-TRN-W-154,Nike,Nike Cross Trainer X (Women's),Training,Women's,Winter,Northeast,1/14/2025,71.29,33.77,0.34,63.14,9.5,Multicolor,Mesh,Foot Locker,Store_32
NK-CSL-Y-155,Nike,Nike City Stroll (Youth),Casual,Youth,Spring,South,3/24/2025,33.27,27.16,0.37,34.61,6Y,Multicolor,Suede,Amazon,Store_39
NK-CSL-U-156,Nike,Nike Weekender (Unisex),Casual,Unisex,Summer,Southwest,6/12/2024,77.41,47.07,0.34,84.32,11,Black,Suede,Dick's Sporting Goods,Store_68
VN-LFS-W-157,Vans,Vans Street Edge (Women's),Lifestyle,Women's,Fall,South,10/12/2024,67.73,49.2,0.25,69.67,6,Gray,Knit,Dick's Sporting Goods,Store_54
AD-LFS-Y-158,Adidas,Adidas City Stepper (Youth),Lifestyle,Youth,Fall,Northeast,11/5/2024,78.46,52.12,0.38,69.32,5.5Y,Navy,Canvas,Dick's Sporting Goods,Store_87
VN-TRN-U-159,Vans,Vans PowerFit (Unisex),Training,Unisex,Spring,South,3/1/2024,111.04,61.88,0.3,100.27,7,Red,Mesh,Amazon,Store_95
PU-BOT-W-160,Puma,Puma Urban Chelsea (Women's),Boots,Women's,Spring,Southwest,5/13/2024,108.95,72.1,0.34,94.98,9.5,Red,Suede,Academy Sports,Store_40
AS-SND-W-161,ASICS,ASICS Summer Stride (Women's),Sandals,Women's,Spring,Midwest,5/13/2024,47.76,27.28,0.32,49.79,7.5,Green,Rubber,Nike Store,Store_03
PU-SND-W-162,Puma,Puma Comfort Float (Women's),Sandals,Women's,Winter,West Coast,1/25/2025,43.04,33.72,0.36,41.72,10,Navy,Leather,Academy Sports,Store_33
NB-SND-W-163,New Balance,New Balance Coastal Drift (Women's),Sandals,Women's,Winter,South,1/18/2024,34.11,34.14,0.25,39.3,7,Tan,Leather,Foot Locker,Store_68
NK-BOT-W-164,Nike,Nike All-Weather Boot (Women's),Boots,Women's,Winter,South,1/31/2024,203.39,89.39,0.37,197.7,7.5,Gray,Leather,Kohl's,Store_48
AS-RUN-M-165,ASICS,ASICS Pace Setter (Men's),Running,Men's,Spring,Southwest,5/26/2024,76.76,38.98,0.35,66.85,8,Green,Mesh,Zappos,Store_69
NB-BSK-M-166,New Balance,New Balance Hoop Legend (Men's),Basketball,Men's,Spring,Southwest,5/16/2024,157.74,92.08,0.25,154.67,13,Navy,Leather,Zappos,Store_46
PU-TRN-Y-167,Puma,Puma Flex Force (Youth),Training,Youth,Fall,Northeast,10/9/2024,58.45,51.04,0.31,66.37,6.5Y,Black,Mesh,Dick's Sporting Goods,Store_49
BR-SND-M-168,Brooks,Brooks Sun Slide (Men's),Sandals,Men's,Winter,Southwest,1/24/2024,41.49,36.18,0.35,39.48,13,Navy,Rubber,Kohl's,Store_35
NK-CSL-Y-169,Nike,Nike Urban Walker (Youth),Casual,Youth,Spring,Northeast,3/24/2024,73.26,42.3,0.36,66.57,6.5Y,Multicolor,Leather,DSW,Store_39
VN-SND-U-170,Vans,Vans Coastal Drift (Unisex),Sandals,Unisex,Winter,South,2/20/2024,26.83,24.49,0.31,23.65,11,White,Synthetic,Academy Sports,Store_07
CV-BOT-Y-171,Converse,Converse Storm Shield (Youth),Boots,Youth,Fall,Northeast,10/10/2024,163.58,111.06,0.25,149.46,7Y,Red,Suede,Amazon,Store_46
AD-HIK-W-172,Adidas,Adidas Trail Blazer (Women's),Hiking,Women's,Summer,Northeast,7/18/2024,112.39,63.83,0.27,116.58,9,Red,Leather,Nike Store,Store_95
RB-HIK-M-173,Reebok,Reebok Trail Blazer (Men's),Hiking,Men's,Winter,South,1/14/2024,74.67,52.48,0.29,65.49,11.5,Gray,Synthetic,Dick's Sporting Goods,Store_14
BR-RUN-Y-174,Brooks,Brooks FlexRun 2.0 (Youth),Running,Youth,Summer,West Coast,7/13/2024,56.99,47.66,0.29,63.04,5Y,White,Synthetic,Nike Store,Store_88
NB-BOT-Y-175,New Balance,New Balance Urban Chelsea (Youth),Boots,Youth,Winter,West Coast,1/4/2025,124.98,89.88,0.32,140.49,6Y,Brown,Leather,Zappos,Store_32
SK-RUN-U-176,Skechers,Skechers Pace Setter (Unisex),Running,Unisex,Winter,Midwest,2/21/2025,112.29,84.94,0.29,116.83,9,Green,Knit,Academy Sports,Store_56
CV-TRN-U-177,Converse,Converse Gym Pro (Unisex),Training,Unisex,Winter,Midwest,2/4/2025,56.93,41.7,0.25,57.19,8,Green,Synthetic,Kohl's,Store_74
AD-TRN-W-178,Adidas,Adidas Cross Trainer X (Women's),Training,Women's,Spring,Southwest,3/1/2025,116.08,59.71,0.37,115.92,7.5,Brown,Knit,Kohl's,Store_38
AS-CSL-Y-179,ASICS,ASICS Daily Comfort (Youth),Casual,Youth,Fall,South,11/2/2024,54.16,39.25,0.3,45.49,6.5Y,Gray,Synthetic,DSW,Store_58
BR-RUN-Y-180,Brooks,Brooks Pace Setter (Youth),Running,Youth,Fall,Southwest,11/27/2024,103,72.92,0.33,94.56,5Y,White,Mesh,Academy Sports,Store_22
RB-BOT-M-181,Reebok,Reebok All-Weather Boot (Men's),Boots,Men's,Summer,Northeast,7/10/2024,95.04,74.21,0.32,91.81,12,Red,Leather,Amazon,Store_58
RB-RUN-U-182,Reebok,Reebok Ultra Stride (Unisex),Running,Unisex,Summer,Northeast,6/8/2024,94.78,57.55,0.32,96.83,6,Green,Mesh,Nike Store,Store_45
AD-LFS-U-183,Adidas,Adidas Retro Classic (Unisex),Lifestyle,Unisex,Spring,Midwest,3/10/2025,87.81,41.72,0.28,73.54,12,Red,Canvas,DSW,Store_03
PU-CSL-W-184,Puma,Puma Chill Step (Women's),Casual,Women's,Spring,Midwest,4/4/2024,50.85,28.71,0.31,45.29,7.5,Green,Synthetic,Dick's Sporting Goods,Store_81
PU-LFS-U-185,Puma,Puma Retro Classic (Unisex),Lifestyle,Unisex,Winter,West Coast,2/22/2024,90.22,59.98,0.3,97.76,8,Navy,Leather,DSW,Store_74
AD-HIK-U-186,Adidas,Adidas Alpine Step (Unisex),Hiking,Unisex,Winter,Southwest,2/28/2024,109.92,65.4,0.38,95.49,9,Blue,Gore-Tex,Dick's Sporting Goods,Store_76
SK-BSK-W-187,Skechers,Skechers Court Dominator (Women's),Basketball,Women's,Winter,Midwest,12/21/2024,75.91,50.91,0.25,71.43,6.5,Navy,Synthetic,Nike Store,Store_48
BR-CSL-U-188,Brooks,Brooks City Stroll (Unisex),Casual,Unisex,Spring,Southwest,4/5/2024,52.25,33.32,0.31,53.16,9,Gray,Leather,Zappos,Store_18
NK-LFS-W-189,Nike,Nike Modern Icon (Women's),Lifestyle,Women's,Winter,South,12/29/2024,84.8,61.6,0.35,98.44,9,Tan,Knit,Kohl's,Store_54
PU-HIK-M-190,Puma,Puma Summit Grip (Men's),Hiking,Men's,Winter,Midwest,1/15/2025,116.06,86.63,0.29,109.29,9,Tan,Synthetic,Kohl's,Store_73
SK-SND-M-191,Skechers,Skechers Comfort Float (Men's),Sandals,Men's,Spring,West Coast,3/23/2025,75.42,37.98,0.26,65.46,8.5,Navy,Leather,Amazon,Store_39
AS-BSK-W-192,ASICS,ASICS Rise Elite (Women's),Basketball,Women's,Fall,South,11/11/2024,70.67,50.77,0.27,81.05,8.5,Multicolor,Mesh,Dick's Sporting Goods,Store_22
RB-HIK-W-193,Reebok,Reebok Alpine Step (Women's),Hiking,Women's,Winter,Midwest,1/19/2025,140.44,87.28,0.34,119.95,8,Red,Synthetic,DSW,Store_18
NB-CSL-W-194,New Balance,New Balance City Stroll (Women's),Casual,Women's,Fall,South,10/22/2024,60.56,44.77,0.33,68.98,9,Blue,Leather,Kohl's,Store_19
AD-BOT-Y-195,Adidas,Adidas Tough Terrain (Youth),Boots,Youth,Summer,Midwest,8/22/2024,100.43,90.53,0.36,87.76,3.5Y,Brown,Suede,DSW,Store_94
BR-TRN-U-196,Brooks,Brooks Iron Sole (Unisex),Training,Unisex,Fall,South,10/7/2024,86.54,55.12,0.33,88.56,12,Red,Synthetic,Zappos,Store_44
NK-RUN-M-197,Nike,Nike Air Runner Pro (Men's),Running,Men's,Summer,West Coast,8/7/2024,100.73,49.53,0.38,92.37,11.5,White,Mesh,Kohl's,Store_01
NB-HIK-M-198,New Balance,New Balance Terrain Master (Men's),Hiking,Men's,Fall,Midwest,11/16/2024,112.49,63.28,0.34,102.96,9,White,Synthetic,Foot Locker,Store_51
AD-RUN-W-199,Adidas,Adidas Air Runner Pro (Women's),Running,Women's,Winter,West Coast,1/5/2024,152.35,77.65,0.37,151.4,7.5,Gray,Synthetic,Kohl's,Store_02
NB-LFS-M-200,New Balance,New Balance Modern Icon (Men's),Lifestyle,Men's,Summer,South,6/2/2024,48.6,33.49,0.35,54.04,8.5,White,Canvas,Academy Sports,Store_48
NB-BSK-M-201,New Balance,New Balance Rise Elite (Men's),Basketball,Men's,Winter,Southwest,1/18/2025,92.42,51.54,0.3,79.11,10.5,Gray,Synthetic,Amazon,Store_81
AD-BSK-W-202,Adidas,Adidas Court Vision (Women's),Basketball,Women's,Spring,Northeast,5/6/2024,120.65,59.45,0.27,112.55,9,Green,Synthetic,Academy Sports,Store_18
CV-HIK-M-203,Converse,Converse Summit Grip (Men's),Hiking,Men's,Summer,Midwest,7/19/2024,114.68,62.78,0.21,95.31,12,Tan,Gore-Tex,Amazon,Store_96
AS-BOT-M-204,ASICS,ASICS Tough Terrain (Men's),Boots,Men's,Summer,South,6/11/2024,65.5,56.84,0.36,66.48,12,Multicolor,Leather,Foot Locker,Store_47
NB-LFS-M-205,New Balance,New Balance City Stepper (Men's),Lifestyle,Men's,Winter,Northeast,1/31/2024,119.51,65.95,0.3,107.31,10,White,Canvas,Amazon,Store_06
BR-BOT-U-206,Brooks,Brooks Storm Shield (Unisex),Boots,Unisex,Winter,Northeast,2/12/2024,167.61,68.76,0.32,145.88,10,Tan,Synthetic,Nike Store,Store_36
VN-SND-U-207,Vans,Vans Coastal Drift (Unisex),Sandals,Unisex,Spring,Southwest,3/9/2025,30.03,19.73,0.23,33.63,11,White,Leather,Dick's Sporting Goods,Store_94
CV-RUN-Y-208,Converse,Converse Air Runner Pro (Youth),Running,Youth,Fall,South,9/11/2024,114.29,92.32,0.26,102.35,4.5Y,Black,Synthetic,Foot Locker,Store_21
NB-SND-W-209,New Balance,New Balance Coastal Drift (Women's),Sandals,Women's,Fall,Midwest,9/25/2024,18.61,15.53,0.34,21.18,8.5,White,Rubber,Dick's Sporting Goods,Store_35
AS-SND-M-210,ASICS,ASICS Comfort Float (Men's),Sandals,Men's,Winter,West Coast,2/22/2024,46.51,35.46,0.33,41.38,9,Gray,Leather,Zappos,Store_99
NK-RUN-M-211,Nike,Nike Air Runner Pro (Men's),Running,Men's,Spring,South,3/15/2025,79.99,40.02,0.39,73.21,11,Brown,Knit,Nike Store,Store_23
PU-SND-W-212,Puma,Puma Coastal Drift (Women's),Sandals,Women's,Fall,West Coast,9/14/2024,44.28,30.16,0.23,42.54,6.5,Blue,Leather,Academy Sports,Store_16
NK-BOT-M-213,Nike,Nike Urban Chelsea (Men's),Boots,Men's,Summer,West Coast,7/7/2024,93.5,61.44,0.36,86.54,8.5,Red,Suede,Kohl's,Store_02
AS-SND-U-214,ASICS,ASICS Coastal Drift (Unisex),Sandals,Unisex,Winter,South,1/13/2024,26.38,19.59,0.29,22.46,7,Tan,Rubber,Foot Locker,Store_53
RB-RUN-U-215,Reebok,Reebok Air Runner Pro (Unisex),Running,Unisex,Winter,Midwest,1/31/2024,109.83,93.44,0.24,126.79,7,Navy,Synthetic,Dick's Sporting Goods,Store_63
PU-BOT-Y-216,Puma,Puma Storm Shield (Youth),Boots,Youth,Winter,West Coast,2/23/2025,120,74.42,0.3,109.58,4Y,White,Synthetic,Nike Store,Store_82
NB-TRN-Y-217,New Balance,New Balance PowerFit (Youth),Training,Youth,Spring,Midwest,5/19/2024,55.36,41.34,0.37,48.78,6Y,Green,Knit,Academy Sports,Store_58
AD-CSL-M-218,Adidas,Adidas Weekender (Men's),Casual,Men's,Summer,South,7/2/2024,88.92,56.73,0.29,93.79,11,Brown,Suede,DSW,Store_69
AD-BSK-W-219,Adidas,Adidas Rise Elite (Women's),Basketball,Women's,Winter,Midwest,2/16/2024,118.89,86.8,0.4,136.95,7.5,Multicolor,Leather,Academy Sports,Store_19
SK-HIK-W-220,Skechers,Skechers Peak Walker (Women's),Hiking,Women's,Summer,Northeast,8/24/2024,74.43,53.1,0.31,85.27,10,Brown,Gore-Tex,Amazon,Store_13
PU-CSL-W-221,Puma,Puma Daily Comfort (Women's),Casual,Women's,Spring,West Coast,4/11/2024,110.83,54.49,0.28,93.54,6.5,White,Suede,Foot Locker,Store_09
RB-BSK-M-222,Reebok,Reebok Court Dominator (Men's),Basketball,Men's,Winter,West Coast,1/16/2024,120.84,66.11,0.28,101.88,11,Gray,Mesh,Dick's Sporting Goods,Store_64
SK-HIK-U-223,Skechers,Skechers Trail Blazer (Unisex),Hiking,Unisex,Spring,South,5/31/2024,97.92,72.94,0.32,110.96,10,Multicolor,Gore-Tex,Amazon,Store_83
BR-CSL-U-224,Brooks,Brooks City Stroll (Unisex),Casual,Unisex,Winter,South,2/4/2025,70.52,47.68,0.32,72.16,11,Tan,Leather,Foot Locker,Store_49
CV-SND-U-225,Converse,Converse Beach Cruiser (Unisex),Sandals,Unisex,Winter,Midwest,2/19/2025,35.4,32.68,0.21,33.85,10,Black,Leather,Amazon,Store_04
CV-TRN-W-226,Converse,Converse Gym Pro (Women's),Training,Women's,Spring,Northeast,4/22/2024,109.4,55.03,0.32,91.47,10,Navy,Synthetic,Foot Locker,Store_98
NB-CSL-W-227,New Balance,New Balance Daily Comfort (Women's),Casual,Women's,Spring,Southwest,4/6/2024,99.63,52.12,0.35,94.83,8.5,Blue,Canvas,Nike Store,Store_73
NB-LFS-M-228,New Balance,New Balance Retro Classic (Men's),Lifestyle,Men's,Summer,Northeast,6/18/2024,119.3,64.72,0.27,106.97,8,Navy,Leather,Kohl's,Store_01
RB-RUN-M-229,Reebok,Reebok Pace Setter (Men's),Running,Men's,Summer,South,7/10/2024,113.88,78.16,0.31,116.86,12,Gray,Mesh,Academy Sports,Store_10
RB-CSL-W-230,Reebok,Reebok City Stroll (Women's),Casual,Women's,Winter,West Coast,12/6/2024,72.84,43.2,0.24,65.93,7,Brown,Suede,Academy Sports,Store_29
NB-CSL-M-231,New Balance,New Balance Weekender (Men's),Casual,Men's,Spring,Southwest,4/23/2024,72.25,45.03,0.25,74.29,9,Multicolor,Canvas,Academy Sports,Store_79
AD-TRN-Y-232,Adidas,Adidas Gym Pro (Youth),Training,Youth,Spring,Midwest,5/15/2024,59.78,40.39,0.36,52.38,6Y,White,Knit,Kohl's,Store_02
NK-RUN-U-233,Nike,Nike CloudRun X (Unisex),Running,Unisex,Summer,West Coast,6/28/2024,160.65,69.12,0.29,137.34,9,Green,Mesh,Kohl's,Store_49
PU-CSL-U-234,Puma,Puma Street Classic (Unisex),Casual,Unisex,Winter,Northeast,2/7/2024,43.83,34.31,0.34,49.94,8,Red,Canvas,Zappos,Store_14
AD-SND-U-235,Adidas,Adidas Arch Support Plus (Unisex),Sandals,Unisex,Winter,Northeast,2/21/2024,29.45,21.95,0.4,27.91,9,Gray,Synthetic,Nike Store,Store_07
VN-HIK-Y-236,Vans,Vans Summit Grip (Youth),Hiking,Youth,Winter,Midwest,1/28/2024,63.17,66.04,0.26,57.69,6.5Y,White,Leather,Kohl's,Store_20
CV-LFS-W-237,Converse,Converse Retro Classic (Women's),Lifestyle,Women's,Spring,Northeast,3/8/2025,61.24,32.62,0.29,51.85,8,Navy,Leather,DSW,Store_61
SK-BSK-U-238,Skechers,Skechers Air Slam (Unisex),Basketball,Unisex,Spring,South,5/14/2024,109.52,69.7,0.24,103.44,7,Green,Synthetic,Kohl's,Store_06
NB-BSK-M-239,New Balance,New Balance Court Vision (Men's),Basketball,Men's,Winter,Midwest,2/23/2025,134.83,74.92,0.38,112.69,9.5,Green,Mesh,Foot Locker,Store_50
CV-TRN-U-240,Converse,Converse Cross Trainer X (Unisex),Training,Unisex,Winter,Midwest,1/22/2025,57.72,49.96,0.31,62.17,6,Green,Knit,Nike Store,Store_16
PU-CSL-M-241,Puma,Puma Street Classic (Men's),Casual,Men's,Winter,West Coast,1/7/2025,83.22,54.91,0.23,83.47,9,Green,Leather,Zappos,Store_41
RB-HIK-U-242,Reebok,Reebok Alpine Step (Unisex),Hiking,Unisex,Summer,Northeast,7/31/2024,117.04,55.48,0.29,96.97,10,Multicolor,Gore-Tex,Dick's Sporting Goods,Store_15
AD-BSK-M-243,Adidas,Adidas Court Vision (Men's),Basketball,Men's,Fall,Midwest,9/5/2024,127.52,78.04,0.33,127.63,10,Blue,Synthetic,Dick's Sporting Goods,Store_84
CV-BOT-M-244,Converse,Converse Urban Chelsea (Men's),Boots,Men's,Winter,West Coast,1/11/2024,154.31,70.64,0.3,132.81,11.5,Navy,Leather,Zappos,Store_48
AD-TRN-W-245,Adidas,Adidas Flex Force (Women's),Training,Women's,Fall,Midwest,11/26/2024,65.02,35.57,0.32,64.98,8,Brown,Synthetic,Dick's Sporting Goods,Store_78
AS-SND-M-246,ASICS,ASICS Beach Cruiser (Men's),Sandals,Men's,Winter,Southwest,2/3/2025,32.86,34.43,0.36,35.67,12,White,Leather,Dick's Sporting Goods,Store_18
PU-RUN-W-247,Puma,Puma FlexRun 2.0 (Women's),Running,Women's,Winter,Northeast,2/25/2025,121.92,64.46,0.28,110.63,7.5,Black,Knit,Zappos,Store_48
PU-SND-U-248,Puma,Puma Arch Support Plus (Unisex),Sandals,Unisex,Spring,Southwest,3/24/2024,53.11,34.1,0.26,60.12,10,Gray,Leather,Academy Sports,Store_45
NK-BOT-M-249,Nike,Nike Classic Lace-Up (Men's),Boots,Men's,Fall,South,11/29/2024,173.06,75.44,0.28,152.61,9.5,Navy,Leather,Amazon,Store_35
NK-LFS-W-250,Nike,Nike City Stepper (Women's),Lifestyle,Women's,Winter,South,12/29/2024,87.97,53.71,0.34,89.85,8,Black,Leather,Zappos,Store_92
SK-TRN-U-251,Skechers,Skechers Flex Force (Unisex),Training,Unisex,Fall,Midwest,9/18/2024,116.49,71.98,0.34,110.13,9,Tan,Knit,DSW,Store_01
CV-HIK-Y-252,Converse,Converse Peak Walker (Youth),Hiking,Youth,Spring,Northeast,5/13/2024,93.54,80.81,0.31,101.71,5.5Y,White,Synthetic,Academy Sports,Store_36
VN-TRN-M-253,Vans,Vans Iron Sole (Men's),Training,Men's,Fall,Southwest,9/11/2024,103.86,71.9,0.23,104.52,9,Blue,Knit,Foot Locker,Store_84
NK-TRN-Y-254,Nike,Nike Flex Force (Youth),Training,Youth,Summer,South,6/2/2024,84.76,65.82,0.4,92.43,7Y,Tan,Knit,Academy Sports,Store_65
AD-LFS-W-255,Adidas,Adidas Vintage Wave (Women's),Lifestyle,Women's,Summer,Midwest,6/30/2024,73.97,36.93,0.38,62.79,8.5,Tan,Leather,DSW,Store_29
RB-HIK-Y-256,Reebok,Reebok Trail Blazer (Youth),Hiking,Youth,Fall,West Coast,9/13/2024,74.4,53.99,0.31,74.19,4Y,Brown,Leather,Kohl's,Store_25
NB-CSL-W-257,New Balance,New Balance Weekender (Women's),Casual,Women's,Spring,Midwest,4/2/2024,77.8,50.04,0.31,84.99,7,Multicolor,Synthetic,Academy Sports,Store_92
NK-RUN-U-258,Nike,Nike Speed Boost Elite (Unisex),Running,Unisex,Winter,Midwest,2/6/2025,147.17,81.52,0.29,135.72,12,Gray,Synthetic,Nike Store,Store_63
BR-BOT-U-259,Brooks,Brooks All-Weather Boot (Unisex),Boots,Unisex,Summer,West Coast,6/13/2024,105.83,98.71,0.32,124.28,7,Black,Synthetic,Academy Sports,Store_02
PU-TRN-Y-260,Puma,Puma Gym Pro (Youth),Training,Youth,Winter,Midwest,2/25/2025,36.99,33.83,0.35,35.48,5.5Y,White,Synthetic,Nike Store,Store_09
VN-SND-U-261,Vans,Vans Summer Stride (Unisex),Sandals,Unisex,Winter,South,2/19/2025,21.76,23.68,0.23,24.22,12,Brown,Leather,Amazon,Store_22
NK-CSL-M-262,Nike,Nike City Stroll (Men's),Casual,Men's,Winter,Midwest,1/25/2024,73.79,45.83,0.37,66.77,10,Black,Synthetic,Foot Locker,Store_77
BR-LFS-U-263,Brooks,Brooks City Stepper (Unisex),Lifestyle,Unisex,Winter,Northeast,12/21/2024,84.59,55.43,0.25,95.33,11,Red,Knit,Nike Store,Store_27
VN-HIK-W-264,Vans,Vans Trail Blazer (Women's),Hiking,Women's,Winter,West Coast,2/5/2025,67.69,53.31,0.23,71.46,6.5,Tan,Gore-Tex,Zappos,Store_15
VN-TRN-Y-265,Vans,Vans PowerFit (Youth),Training,Youth,Fall,West Coast,9/3/2024,67.42,45.22,0.2,56.87,7Y,Gray,Mesh,Amazon,Store_89
CV-LFS-W-266,Converse,Converse City Stepper (Women's),Lifestyle,Women's,Spring,Northeast,5/31/2024,75.63,38.57,0.21,64.45,8,White,Canvas,Amazon,Store_59
SK-SND-Y-267,Skechers,Skechers Coastal Drift (Youth),Sandals,Youth,Winter,West Coast,12/5/2024,31.66,29.53,0.25,26.31,3.5Y,White,Rubber,Foot Locker,Store_18
SK-BSK-Y-268,Skechers,Skechers Hoop Legend (Youth),Basketball,Youth,Spring,Midwest,3/3/2025,80.04,66.3,0.32,73.43,6.5Y,White,Synthetic,Kohl's,Store_35
NB-BSK-W-269,New Balance,New Balance Hoop Legend (Women's),Basketball,Women's,Fall,Northeast,11/8/2024,125.4,65.92,0.29,113.66,9.5,White,Synthetic,Kohl's,Store_24
NB-LFS-U-270,New Balance,New Balance Modern Icon (Unisex),Lifestyle,Unisex,Summer,Northeast,6/9/2024,56.84,28.49,0.36,50.52,6,Brown,Canvas,Zappos,Store_84
CV-TRN-Y-271,Converse,Converse Train Hard (Youth),Training,Youth,Summer,Southwest,6/26/2024,70.34,58.55,0.28,60.86,6.5Y,Multicolor,Mesh,Amazon,Store_62
CV-RUN-M-272,Converse,Converse Pace Setter (Men's),Running,Men's,Fall,South,9/8/2024,80.08,56.28,0.24,77.18,9,Brown,Knit,DSW,Store_97
VN-BOT-U-273,Vans,Vans All-Weather Boot (Unisex),Boots,Unisex,Spring,South,3/14/2025,117.95,81.4,0.24,104.78,12,Brown,Suede,Kohl's,Store_12
NK-BSK-U-274,Nike,Nike Court Dominator (Unisex),Basketball,Unisex,Fall,West Coast,11/12/2024,185.82,82.16,0.4,170.13,6,Tan,Mesh,DSW,Store_78
AS-SND-Y-275,ASICS,ASICS Beach Cruiser (Youth),Sandals,Youth,Summer,Northeast,8/19/2024,24.49,16.74,0.35,25.08,7Y,Brown,Leather,Academy Sports,Store_92
SK-SND-M-276,Skechers,Skechers Beach Cruiser (Men's),Sandals,Men's,Fall,Northeast,11/8/2024,24.48,18.7,0.22,26.33,11,Brown,Rubber,DSW,Store_33
PU-SND-M-277,Puma,Puma Sun Slide (Men's),Sandals,Men's,Fall,West Coast,10/28/2024,55.21,36.95,0.24,52.77,11.5,Multicolor,Rubber,Kohl's,Store_85
NK-BOT-U-278,Nike,Nike Heritage Work Boot (Unisex),Boots,Unisex,Summer,Southwest,7/17/2024,138.99,92.05,0.36,118.18,11,Multicolor,Leather,Nike Store,Store_14
BR-TRN-Y-279,Brooks,Brooks PowerFit (Youth),Training,Youth,Fall,West Coast,11/4/2024,88.48,60,0.35,79.74,4.5Y,Red,Synthetic,Nike Store,Store_53
RB-TRN-W-280,Reebok,Reebok Train Hard (Women's),Training,Women's,Fall,South,11/28/2024,117.96,71.01,0.24,108.65,8.5,Red,Knit,Nike Store,Store_91
AD-SND-U-281,Adidas,Adidas Comfort Float (Unisex),Sandals,Unisex,Winter,Southwest,2/17/2025,14.44,14.31,0.27,16.61,11,Green,Synthetic,Zappos,Store_55
NK-TRN-Y-282,Nike,Nike PowerFit (Youth),Training,Youth,Winter,South,1/20/2025,69.08,53.65,0.33,64.08,3.5Y,Red,Mesh,Zappos,Store_27
VN-TRN-U-283,Vans,Vans Train Hard (Unisex),Training,Unisex,Summer,South,7/17/2024,89.57,48.66,0.3,74.19,11,Red,Knit,Foot Locker,Store_49
NK-RUN-Y-284,Nike,Nike Pace Setter (Youth),Running,Youth,Spring,South,4/9/2024,68.76,54.77,0.3,74.81,6Y,Brown,Mesh,Amazon,Store_93
NB-BSK-U-285,New Balance,New Balance Bounce Pro (Unisex),Basketball,Unisex,Fall,Northeast,10/26/2024,206.4,95.3,0.24,172.45,8,Red,Mesh,Nike Store,Store_21
NK-CSL-Y-286,Nike,Nike Street Classic (Youth),Casual,Youth,Winter,Southwest,2/5/2025,63.53,47.48,0.35,60.93,7Y,Multicolor,Suede,Academy Sports,Store_10
VN-CSL-U-287,Vans,Vans Chill Step (Unisex),Casual,Unisex,Winter,Southwest,12/5/2024,49.2,33.95,0.25,43.6,8,Green,Canvas,Amazon,Store_28
VN-LFS-M-288,Vans,Vans Vintage Wave (Men's),Lifestyle,Men's,Winter,Northeast,12/15/2024,91.12,63.43,0.25,102.16,9.5,Blue,Knit,Amazon,Store_06
SK-HIK-M-289,Skechers,Skechers Terrain Master (Men's),Hiking,Men's,Spring,Southwest,5/31/2024,174.19,92.91,0.23,145.06,11.5,Tan,Gore-Tex,Kohl's,Store_06
NB-RUN-M-290,New Balance,New Balance CloudRun X (Men's),Running,Men's,Fall,South,10/2/2024,142.91,85.24,0.36,141.35,11,Navy,Synthetic,DSW,Store_27
AD-CSL-M-291,Adidas,Adidas City Stroll (Men's),Casual,Men's,Spring,West Coast,4/1/2024,93.2,50.59,0.34,99.76,8.5,Blue,Canvas,DSW,Store_07
SK-BOT-U-292,Skechers,Skechers Storm Shield (Unisex),Boots,Unisex,Winter,West Coast,12/10/2024,102.11,55.93,0.2,116.91,8,Green,Suede,Foot Locker,Store_50
CV-RUN-M-293,Converse,Converse Pace Setter (Men's),Running,Men's,Winter,Midwest,1/26/2025,106.31,90.82,0.25,123.41,10,White,Knit,DSW,Store_37
NB-TRN-W-294,New Balance,New Balance Train Hard (Women's),Training,Women's,Winter,West Coast,2/11/2025,104,66.69,0.33,121.76,7,Red,Knit,Zappos,Store_87
